C.SH,JENS.S,SEN.S,SAVAD.S,M.T.S,V.F.S,N.T.M,T.O,S.Z,M.O.B,OTO,MO,DO,ZABT,TV,PC,TEL.H,OJAGH.GAZ,JAROO.B,M.LEBAS,CHARKH.KH,PANKE,M.ZARF,H.KHORAKI.NOOSHIDANI,H.ERTEBATAT,H.BEHDASHT,H.HAMLONAGHL,H.KALA.MOT,H.MASKAN,H.MOBLEMAN,H.POOSHAK,KHARID.KALA.BADAVAM,H.SARMAYEGOZARI,DARAMAD.KHALES
1,1,46,1,2,1,3,5,110,0,1,0,0,0,1,0,1,1,1,1,1,1,0,8610000,1850000,350000,10480000,2100000,21400000,1580000,0,42466666.67,0,47780000
1,2,72,1,4,3,1,4,106,0,0,0,0,0,1,1,1,1,1,1,1,1,0,7117250,500000,400000,8300000,300000,20540000,1170000,0,6503333.333,0,43252833.33
1,1,59,1,4,3,1,4,100,0,0,0,0,0,1,0,1,1,1,1,1,1,0,17320000,270000,510000,2200000,860000,16080000,410000,10000000,16501866.42,0,1275000
1,1,44,1,4,3,3,4,100,0,0,0,0,0,1,0,1,1,1,1,1,1,0,20825000,800000,0,2250000,2200000,14540000,10150000,1110000,3288860.667,0,45365833.33
1,1,70,1,5,3,1,4,110,0,1,0,0,0,1,1,1,1,1,1,1,1,0,23340000,1600000,300000,400000,0,18900000,720000,0,14600000,0,290883333.3
1,1,65,1,5,3,1,4,74,0,1,0,1,0,1,0,1,1,1,1,1,1,0,10870000,600000,340000,6950000,350000,15665000,1950000,300000,10940000,833333.3333,2100728.333
1,2,62,1,4,3,1,5,175,3,1,0,0,0,1,0,1,1,1,1,0,1,0,58500000,500000,6700000,480000,1400000,19875000,650000,50000,1421333.333,0,61069334
1,1,66,1,6,3,1,3,80,0,0,0,0,0,1,0,1,1,1,0,0,1,0,12350000,850000,3000000,850000,965000,15000000,930000,0,2919083.333,0,149209166.7
1,2,76,1,1,3,1,4,85,3,0,0,0,0,1,0,1,1,1,1,1,1,0,42680000,1350000,350000,6300000,1145000,18300000,1370000,0,23616000,0,125233083.3
1,1,44,1,7,1,1,4,80,0,1,0,1,0,1,1,1,1,1,1,0,1,0,11585000,780000,2000000,450000,1060000,19840000,0,2120000,4678231.333,3333333.333,36196666.67
1,1,64,1,4,1,1,4,80,0,0,0,0,0,1,0,1,1,1,1,1,0,0,11930000,150000,0,2000000,5500000,13640000,430000,3900000,29713083.33,0,65500000
1,1,40,1,4,1,1,4,80,0,0,0,0,0,1,1,1,1,1,1,0,1,0,27283500,1850000,5800000,4000000,550000,14515000,1675000,0,9810000,0,3785000
1,1,77,2,0,3,1,4,76,3,0,0,0,1,1,0,1,1,1,1,1,1,0,18340000,400000,370000,2450000,2200000,16900000,1800000,0,664898,0,33365916.67
1,1,66,1,1,3,1,5,110,0,1,0,0,0,1,0,1,1,1,1,0,0,0,10305000,510000,14780000,0,420000,22200000,1235000,0,4972928.333,0,74250000
1,1,64,1,4,3,3,4,90,0,0,0,0,0,1,0,1,1,1,1,0,1,0,14900000,1550000,7600000,0,1945000,20450000,2340000,0,4287708.333,0,97883333.33
1,1,68,1,3,3,1,4,85,0,0,0,0,0,1,0,1,1,1,0,0,1,0,22710000,490000,200000,400000,395000,24815000,1510000,0,16249166.67,0,28250000
1,1,37,1,2,1,3,4,85,3,0,1,0,0,1,0,1,1,1,1,0,1,0,13030000,3600000,2700000,1200000,0,39290000,1610000,250000,1800000,0,48296666.67
1,1,39,1,4,1,1,3,60,3,0,0,0,1,1,0,1,1,1,0,1,1,0,29968000,675000,2200000,16450000,0,16960000,2000000,300000,10758333.33,0,45978333.33
1,1,35,1,4,1,3,4,60,0,0,1,1,0,1,1,1,1,1,1,1,0,0,25667000,0,0,480000,0,23412000,1850000,3500000,38350000,0,25181186.75
1,1,66,1,4,1,3,5,110,0,0,1,0,0,1,1,1,1,1,1,1,1,0,31036000,1450000,2000000,500000,2320000,12620000,322000,0,37845750,0,39585083.33
1,2,70,1,1,3,1,5,120,0,1,0,0,0,1,0,1,1,1,1,0,0,0,25959000,18000000,2400000,300000,1190000,21400000,780000,400000,9116666.667,0,20080000
1,1,40,1,4,1,1,4,100,0,1,0,0,0,1,1,1,1,1,1,1,1,0,22763000,600000,5000000,2600000,1600000,29450000,1450000,500000,655000,0,55416666.67
1,1,50,1,6,1,1,4,85,0,1,0,0,0,1,0,1,1,1,1,1,1,0,13730000,280000,350000,600000,120000,32695000,360000,0,28007333.33,0,55883333.33
